epoch,train_loss,val_loss,train_acc,val_top1,val_top5
1,4.643282076674241,4.171083547210693,2.8407692307692307,5.72,21.8
2,4.062674716479962,3.891064748764038,7.316153846153846,9.16,29.220000000000002
3,3.843818046247042,3.6976165168762205,10.525384615384615,12.540000000000001,36.4
4,3.657870716212346,3.517124524688721,13.581538461538461,15.440000000000001,41.160000000000004
5,3.499883823776245,3.3840849506378174,16.53923076923077,17.76,44.98
6,3.3651195155803975,3.271521110534668,19.015384615384615,20.28,48.120000000000005
7,3.255411053055983,3.162709622192383,21.107692307692307,22.84,50.9
8,3.1589593866788426,3.0799283294677733,22.984615384615385,24.759999999999998,53.480000000000004
9,3.0646938622107873,2.994631430053711,24.94230769230769,26.1,55.60000000000001
10,3.000309409537682,2.9499537689208983,26.294615384615383,26.840000000000003,56.32
11,2.8906030510535605,2.874644365310669,28.435384615384617,28.84,57.879999999999995
12,2.8667568049797647,2.857081784057617,29.07923076923077,29.42,58.28
13,2.856914819365281,2.845259969329834,29.37769230769231,29.299999999999997,58.599999999999994
14,2.8380564966055064,2.836825065231323,29.71923076923077,29.78,58.68
15,2.827625751906175,2.8302397121429443,29.802307692307693,29.64,59.36
16,2.8193204112126278,2.818860882949829,29.953846153846154,30.2,59.519999999999996
17,2.803855082145104,2.8162229400634766,30.426923076923078,30.380000000000003,59.28
18,2.7993000990647534,2.805273191070557,30.449230769230766,30.659999999999997,59.88
19,2.7934258773216833,2.798789351272583,30.673846153846153,30.56,59.96
20,2.7904608948340783,2.791026248931885,30.712307692307693,30.880000000000003,60.31999999999999
21,2.7719657947833722,2.7903582710266113,30.988461538461536,30.94,60.099999999999994
22,2.773092100055401,2.7888796020507813,31.12153846153846,30.48,60.199999999999996
23,2.775182708828266,2.789994085693359,31.026923076923076,31.04,60.34
24,2.7677596920600305,2.7874621322631836,31.133846153846157,31.119999999999997,60.540000000000006
25,2.7678818311544564,2.788691129684448,31.233846153846155,30.9,60.419999999999995
26,2.7685433007753812,2.781896934509277,31.209230769230768,31.0,60.28
27,2.760146611199012,2.784358012008667,31.064615384615387,30.94,60.419999999999995
28,2.7650641926105206,2.7835419399261476,31.13153846153846,30.94,60.4
29,2.770702979689378,2.784735578536987,31.22615384615385,30.959999999999997,60.31999999999999
30,2.7660450073535627,2.7843633895874023,31.17615384615385,31.0,60.46
31,3.131384991455078,2.9373828983306884,23.880000000000003,27.72,57.199999999999996
32,2.8519243684621958,2.8057565990447997,29.14076923076923,30.759999999999998,59.760000000000005
33,2.708773702592116,2.790919876098633,32.02923076923077,31.64,61.46
34,2.603428922711886,2.623062028884888,34.59846153846154,33.62,63.88
35,2.5182776996905987,2.5740098136901857,36.26615384615385,35.699999999999996,65.18
36,2.434838495225173,2.470794564819336,38.24769230769231,37.64,68.28
37,2.3701045363793005,2.460216372680664,39.57,38.36,67.2
38,2.306726512351403,2.4606682510375975,41.003076923076925,37.9,68.14
39,2.271645694057758,2.3366400020599367,42.033846153846156,39.519999999999996,70.24000000000001
40,2.2219814539395846,2.322034183692932,42.93769230769231,40.68,70.56
41,2.1769188942249005,2.2493774196624754,44.00615384615384,42.059999999999995,71.34
42,2.152680026626587,2.257199543762207,44.603846153846156,42.980000000000004,71.38
43,2.108115182524461,2.289443606758118,45.46846153846154,44.0,72.8
44,2.077457183265686,2.155352310562134,46.39769230769231,44.56,73.64
45,2.0491638264289267,2.154323766708374,47.04538461538462,43.8,73.28
46,2.0335385653569147,2.119079028892517,47.16692307692308,44.24,73.82
47,2.0082892268841084,2.096309310531616,47.66615384615385,47.0,74.22
48,1.9883907748735867,2.1391556512832643,48.18076923076923,45.440000000000005,73.88
49,1.9628697386521559,2.064853038597107,48.86923076923077,46.2,75.58
50,1.9496148694845346,2.0820710319519042,49.16615384615385,46.0,74.72
51,1.9341646679804876,2.1084116516113283,49.61923076923077,45.96,74.56
52,1.9188703624138466,2.0901703023910523,49.90461538461538,45.34,74.14
53,1.9081710337712214,2.016468737411499,50.30615384615385,46.92,75.96000000000001
54,1.8921307933073777,2.006558944129944,50.52230769230769,48.52,75.94
55,1.8851117476536678,2.018127374458313,50.80384615384615,48.120000000000005,76.42
56,1.865633205003005,2.0034692264556884,51.252307692307696,47.96,76.48
57,1.8633790218940147,1.9884882291793824,51.276923076923076,48.04,76.55999999999999
58,1.8478636646124034,1.9741598258972168,51.65,48.8,76.9
59,1.839715617429293,1.945791841506958,51.980000000000004,49.559999999999995,77.64
60,1.8353104552048902,1.957899056816101,51.93846153846153,48.68,77.10000000000001
61,1.5863037181120652,1.6592653133392334,58.09923076923077,56.36,81.89999999999999
62,1.5221735307400044,1.6719607932090759,59.50461538461539,56.06,82.04
63,1.500421028826787,1.6433231420516967,60.076153846153844,56.68,82.08
64,1.4864388797173134,1.6507085458755493,60.38769230769231,56.84,82.54
65,1.469567144511296,1.5987491924285888,60.72923076923077,57.620000000000005,82.69999999999999
66,1.4617508673154391,1.6095264187812806,60.9623076923077,57.220000000000006,82.92
67,1.449074596962562,1.6130956733703614,61.31846153846154,57.220000000000006,82.72
68,1.4465780957442063,1.5955868565559388,61.24076923076923,57.76,83.17999999999999
69,1.4368900412632868,1.590670804977417,61.53846153846154,57.620000000000005,83.54
70,1.4298786084982065,1.5881501598358154,61.56461538461539,57.64,83.56
71,1.4281685299066398,1.600338978099823,61.71846153846153,57.699999999999996,83.14
72,1.4253444176893968,1.566249008178711,61.80076923076923,58.64,83.48
73,1.4144704379741961,1.5798482754707337,62.08846153846154,58.36,83.34
74,1.4096856831037081,1.5728960329055786,62.06461538461539,58.08,83.22
75,1.4087484680175781,1.5601142366409302,62.30769230769231,58.78,83.44
76,1.4046639234836285,1.5814195702552796,62.356923076923074,58.06,83.32000000000001
77,1.3984261944990892,1.5658899173736571,62.239999999999995,58.3,83.67999999999999
78,1.3907940624823938,1.5751592606544496,62.529999999999994,58.46,83.76
79,1.3894106863462008,1.567333116722107,62.69846153846154,58.5,83.7
80,1.3859660130280715,1.5674032174110413,62.700769230769225,57.96,83.42
81,1.387382185466473,1.5726601866722107,62.653846153846146,58.540000000000006,83.26
82,1.3801233369093675,1.5608740421295166,62.85384615384615,59.160000000000004,83.5
83,1.3714640151243944,1.5393119178771972,63.10923076923077,59.040000000000006,83.89999999999999
84,1.3723958031580998,1.5726406721115112,62.98769230769231,58.64,83.2
85,1.3717745467699491,1.5507552852630615,63.01076923076923,58.540000000000006,83.76
86,1.3644850825383112,1.5507406121253968,63.331538461538464,59.260000000000005,83.96000000000001
87,1.3628126217035146,1.547910644340515,63.318461538461534,59.21999999999999,83.6
88,1.3599246452038105,1.5640965267181397,63.36153846153846,58.64,83.67999999999999
89,1.3593147884955774,1.549370798110962,63.38538461538461,58.81999999999999,84.06
90,1.358096002285297,1.5478085479736328,63.40307692307692,58.86,84.17999999999999
91,1.3104023641586304,1.5026453681945802,64.61153846153846,60.56,84.66
92,1.2833437946026143,1.500751965713501,65.29846153846154,60.480000000000004,84.72
93,1.2808486373167771,1.4939627696990967,65.30307692307692,60.699999999999996,84.88
94,1.2778410405085636,1.502900800228119,65.4676923076923,60.699999999999996,84.64
95,1.2782957465391893,1.4984088222503662,65.42846153846153,60.64000000000001,84.56
96,1.2748200973364023,1.4925793342590332,65.50769230769231,60.81999999999999,84.7
97,1.2715971215321467,1.4954444887161256,65.63230769230769,60.440000000000005,84.76
98,1.271005001449585,1.4890301366806031,65.5646153846154,61.18,84.74000000000001
99,1.2672501607161302,1.5030560792922973,65.53615384615384,60.28,84.66
100,1.2730132336689877,1.486723592853546,65.56923076923077,60.64000000000001,84.76
